data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
,,#event+code,,#date+occurred,#date+year,,#event+type,,#group+name+first,#group+name+first+assoc,,#group+name+second,#group+name+second+assoc,,,#region+name,#country+name,#adm1+name,#adm2+name,#adm3+name,#loc+name,#geo+lat,#geo+lon,,#meta+source,,#description,#affected+killed,,#country+code
7000802,8,ALB380,380,4/1/2019,2019,1,Riots,Violent demonstration,Rioters (Albania),Labour Group (Albania),5,Police Forces of Albania (2013-),,1,15,Europe,Albania,Gjirokaster,Gjirokaster,,Gjirokaster,40.0758,20.1389,1,Albanian Daily News,National,"On 1 April, transport companies in Gjirokaster demonstrated against unfair competition by blocking a road with their buses. Drivers from Gjirokaster and Libohova reportedly clashed and police detained five demonstrators. [size=no report]",0,1585075530,ALB
7000801,8,ALB382,382,3/31/2019,2019,1,Strategic developments,Disrupted weapons use,Police Forces of Albania (2013-),,1,Unidentified Armed Group (Albania),,3,13,Europe,Albania,Vlore,Vlore,,Vlore,40.4667,19.4897,1,Albanian Daily News,National,"On 31 March, a package was found in Vlore and police reported it was TNT. The area was isolated and police performed controlled explosion. There were no reports about the source of the explosive.",0,1585075530,ALB
7290490,8,ALB375,375,3/29/2019,2019,1,Protests,Peaceful protest,Protesters (Albania),,6,,,0,60,Europe,Albania,Durres,Durres,,Durres,41.3231,19.4414,1,Albanian Daily News,National,"On 29 March, Prime Minister Edi Rama was met with citizen protests [size=no report] upon his visit in Durres, where he had a meeting on the topic 'The Municipality we want.'",0,1604423640,ALB
7289081,8,ALB374,374,3/28/2019,2019,1,Riots,Violent demonstration,Rioters (Albania),PD: Democratic Party of Albania,5,Police Forces of Albania (2013-),,1,15,Europe,Albania,Tirana,Tirana,,Tirana,41.3275,19.8189,1,Albanian Daily News; Intellinews; NOA,National-International,"On 28 March, a weekly demonstration [size=no report], organized by Democratic Party of Albania, against the Albanian government took place in Tirana. Demonstrators clashed with police, as they tried to break off a police cordon and enter Parliament. About 28 people were detained for violence, as they threw stones and other objects at police. Demonstrators threw black ink at the Interior Ministry building, symbolizing how the government of Edi Rama has 'blackened' the country with corruption, organized crime, and drug trafficking.",0,1604423633,ALB
5107421,8,ALB371,371,3/27/2019,2019,1,Protests,Peaceful protest,Protesters (Albania),PD: Democratic Party of Albania; LSI: Socialist Movement for Integration,6,,,0,60,Europe,Albania,Tirana,Tirana,,Tirana,41.3275,19.8189,1,Albanian Daily News,National,"On 27 March, residents of the Astir area, together with members of the Democratic Party and Socialist Movement for Integration, protested for 144th consecutive day [size=no report] against the Big Ring construction project and demanded full compensation for their demolished property.",0,1554214123,ALB
5107422,8,ALB372,372,3/27/2019,2019,1,Protests,Peaceful protest,Protesters (Albania),Lawyers (Albania),6,,,0,60,Europe,Albania,Fier,Lushnje,,Lushnje,40.9419,19.705,1,Albanian Daily News,National,"On 27 March, lawyers in Lushnje [size=no report] protested by hanging black robes on fences against the recent murder of their colleague in Elbasan, which they believed was related to his job.",0,1554214123,ALB
5107423,8,ALB373,373,3/27/2019,2019,1,Protests,Peaceful protest,Protesters (Albania),,6,,,0,60,Europe,Albania,Tirana,Tirana,,Tirana,41.3275,19.8189,1,Albanian Daily News,National,"On 27 March, residents of the Astir [size=no report] area gathered in front of the Police Directorate in Tirana to protest against the detention of seven of their fellow protesters at the demonstration against the Big Ring construction project earlier during the day.",0,1554214123,ALB
5535315,8,ALB370,370,3/26/2019,2019,1,Protests,Peaceful protest,Protesters (Albania),Labour Group (Albania),6,,,0,60,Europe,Albania,Berat,Polican,,Polican,40.5861,20.0454,1,Radio and Televizioni Shqiptar; Albanian Daily News,National,"On 26 March, about 130 employees [size=130] from the bankrupt mechanic factory in Polican protested demanding their salaries during the last year and a half to be paid.",0,1561483030,ALB
5107419,8,ALB369,369,3/25/2019,2019,1,Protests,Peaceful protest,Protesters (Albania),,6,,,0,60,Europe,Albania,Tirana,Tirana,,Tirana,41.3275,19.8189,1,Albanian Daily News,National,"On 25 March, residents of the Astir area [size=no report] protested for 142nd consecutive day against the Big Ring construction project and demanded full compensation for their demolished property.",0,1554214123,ALB
5107418,8,ALB368,368,3/24/2019,2019,1,Protests,Peaceful protest,Protesters (Albania),PD: Democratic Party of Albania; LSI: Socialist Movement for Integration,6,,,0,60,Europe,Albania,Tirana,Tirana,,Tirana,41.3275,19.8189,1,Albanian Daily News,National,"On 24 March, residents of the Astir area, together with the members of the opposition [size=no report], including Democratic Party of Albania and Socialist Movement for Integration, protested for 141st consecutive day against the Big Ring construction project and demanded full compensation for their demolished property.",0,1554214123,ALB
